"",,,,,,,YTD November FY 2022,,,,
"",,,,,Adjusted,,Passenger,,,,
"($s in Millions)",Operating,,Operating,,Operating,Ridership,Seat Miles Miles,Average,,Train Miles,
"",Revenue,,Expense,,Earnings,(in Thousands),(in Millions) (in Millions),Load Factor,OTP,(in Millions),Frequencies
NEC:,,,,,,,,,,,
Acela,$52.9,$,49.3,$,3.6,325.5,105.2 64.9,62%,82.2%,0.3,863.0
Regional,106.9,,89.0,,17.9,"1,206.1",355.7 215.4,61%,79.5%,0.8,"2,175.5"
NEC Special Trains & Adjustments,0 .7,,1.2,,(0.5),0.0,0.5 0.0,N/A,N/A,0.0,48.0
NEC,$1 60.5,$,1 39.4,$,21.1,"1,531.6",461.4 280.3,61%,80.0%,1.2,"3,086.5"
State Supported:,,,,,,,,,,,
Ethan Allen Express,$0.6,$,0.7,$,(0.2),8.4,3.7 0.5,12%,93.4%,0.0,50.2
Vermonter,1 .4,,1.5,,(0.1),16.3,9.1 1.8,20%,84.0%,0.0,48.9
Maple Leaf,4 .1,,5.1,,(1.0),62.5,39.2 11.8,30%,83.9%,0.1,253.7
The Downeaster,2 .6,,2.9,,(0.3),70.1,24.3 5.8,24%,77.9%,0.1,599.0
New Haven - Springfield,3 .9,,5.3,,(1.3),57.7,17.0 3.4,20%,85.8%,0.1,991.5
Keystone Service,5 .1,,10.3,,(5.2),133.9,36.8 9.2,25%,92.2%,0.1,663.4
Empire Service,10.9,,12.2,,(1.3),183.1,49.2 28.5,58%,90.2%,0.2,773.7
Chicago-St.Louis,5 .7,,5.6,,0.1,73.7,36.8 13.5,37%,80.4%,0.1,485.0
Hiawathas,3 .9,,3.4,,0.5,77.6,14.6 6.2,43%,93.6%,0.1,836.0
Wolverines,5 .3,,5.7,,(0.4),56.6,28.5 12.3,43%,60.0%,0.1,366.0
Illini,3 .5,,2.7,,0.8,52.8,34.2 8.4,25%,63.8%,0.1,244.0
ILLINOIS Zephyr,2 .4,,1.9,,0.5,23.0,13.0 3.8,30%,86.8%,0.1,242.0
Heartland Flyer,1 .1,,1.2,,(0.1),9.2,4.5 1.7,37%,81.8%,0.0,121.0
Pacific Surfliner,15.7,,17.2,,(1.5),234.9,104.4 23.0,22%,83.7%,0.2,"1,201.0"
Cascades,5 .6,,6.3,,(0.7),56.4,20.3 8.8,43%,56.4%,0.1,366.0
Capitols,8 .0,,8.6,,(0.5),112.7,44.3 8.4,19%,81.0%,0.2,"1,264.0"
San Joaquins,12.5,,13.6,,(1.1),112.5,85.2 16.5,19%,75.2%,0.2,698.0
Adirondack,0 .2,,0.3,,(0.1),0.0,0.0 0.0,0%,0.0%,0.0,0.0
Blue Water,2 .0,,2.2,,(0.1),23.1,13.9 4.4,32%,72.2%,0.0,122.0
Washington-Lynchburg,1 .7,,1.8,,(0.1),33.3,12.9 4.9,38%,79.6%,0.0,44.7
Washington - Newport News,2 .4,,3.2,,(0.8),48.7,18.2 6.2,34%,72.9%,0.0,76.4
Washington - Norfolk,2 .2,,2.9,,(0.6),36.9,22.6 4.9,22%,72.9%,0.0,82.4
Washington - Richmond,0 .7,,0.8,,(0.1),9.5,6.5 0.8,13%,72.9%,0.0,30.2
Hoosier State,-,,-,,-,0.0,0.0 0.0,0%,0.0%,0.0,0.0
Kansas City-St.Louis,2 .5,,2.3,,0.2,24.9,14.4 4.4,31%,56.1%,0.1,243.0
Pennsylvanian,2 .4,,3.0,,(0.6),29.9,12.8 6.2,48%,58.7%,0.0,96.8
Gulf Coast Limited,-,,0.0,,(0.0),0.0,0.0 0.0,0%,0.0%,0.0,0.0
Pere Marquette,1 .0,,1.1,,(0.0),12.6,4.5 1.9,43%,73.7%,0.0,122.0
Carolinian,3 .3,,3.0,,0.2,43.8,24.0 9.1,38%,70.1%,0.1,82.7
Piedmont,1 .4,,1.4,,0.0,36.1,11.8 4.3,36%,71.9%,0.1,358.0
Non Nec Special Trains & Adjustments,0 .0,,2.2,,(2.1),0.0,0.5 0.0,N/A,N/A,0.0,137.0
State Supported,$1 12.4,$,1 28.4,$,(16.0),"1,640.3",707.3 210.9,30%,80.2%,2.2,"10,598.6"
Long Distance:,,,,,,,,,,,
Silver Star,$5.3,$,12.1,$,(6.9),47.4,35.7 19.9,56%,44.6%,0.2,122.0
Cardinal,1 .4,,3.7,,(2.3),15.0,8.8 4.9,55%,62.0%,0.1,52.0
Silver Meteor,6 .0,,11.7,,(5.6),43.0,38.0 21.9,58%,49.8%,0.2,122.0
Empire Builder,6 .6,,18.2,,(11.6),48.0,83.1 31.3,38%,53.7%,0.3,244.0
Capitol Limited,3 .1,,6.1,,(2.9),27.8,20.7 12.0,58%,31.4%,0.1,122.0
California Zephyr,8 .3,,18.2,,(9.9),47.0,67.1 34.9,52%,49.2%,0.3,122.0
Southwest Chief,7 .1,,15.5,,(8.4),37.3,62.0 31.8,51%,42.9%,0.3,122.0
City of New Orleans,2 .3,,6.4,,(4.1),26.0,22.4 9.8,44%,84.2%,0.1,122.0
Texas Eagle,3 .6,,8.2,,(4.5),42.8,30.7 19.5,63%,60.9%,0.2,122.0
Sunset Limited,1 .6,,7.4,,(5.8),10.9,26.0 7.9,30%,34.1%,0.1,51.0
Coast Starlight,6 .7,,13.9,,(7.3),55.5,48.1 23.5,49%,60.9%,0.2,122.0
Lake Shore Limited,5 .0,,10.7,,(5.8),55.0,42.7 21.7,51%,59.0%,0.1,238.0
Palmetto,3 .9,,5.8,,(1.9),44.1,24.3 9.8,40%,72.8%,0.1,122.0
Crescent,5 .1,,10.8,,(5.7),40.5,39.0 15.6,40%,60.8%,0.2,120.0
Auto Train,17.4,,14.0,,3.4,41.4,60.1 35.4,59%,27.4%,0.1,118.0
Long Distance Adjustments,0 .0,,0.9,,(0.9),N/A,N/A N/A,N/A,N/A,N/A,N/A
Long Distance,$83.3,$,1 63.6,$,(80.2),581.7,608.8 299.8,49%,53.4%,2.4,"1,921.0"
Ancillary,52.6,,51.1,,1.5,,,,,0.0,1.0
Infrastructure,41.9,,57.3,,(15.4),,,,,1.3,"105,313.5"
Amtrak,$4 50.7,$,5 39.7,$,(89.1),"3,753.6","1,777.5 790.9",44%,76.0%,5.8,"15,606.1"
